id,strategy_name,symbol,start_date,end_date,initial_capital,final_capital,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,total_trades,winning_trades,losing_trades,avg_win,avg_loss,profit_factor
478,dual-ma-cross-v1,300750,2024-01-01,2024-06-30,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0
493,dual-ma-cross-v1,300750,2024-07-01,2024-12-31,1000000,1000000,0.382894,0.922340903597382,1.589534011293732,-0.22511617106111548,1,1,0,0,0,0,0
455,dual-ma-cross-v1,600000,2023-01-01,2023-12-31,1000000,1000000,-0.137435,-0.14268859384010402,-0.8342344440635169,-0.17864719818392347,0,5,0,0,0,0,0
474,dual-ma-cross-v1,600000,2024-01-01,2024-06-30,1000000,1000000,0.125378,0.28970061377254064,2.1579240787754785,-0.05761679742552021,1,1,0,0,0,0,0
487,dual-ma-cross-v1,600000,2024-07-01,2024-12-31,1000000,1000000,0.021916000000000116,0.04467461318974175,0.32446426493015346,-0.10376173582912301,0,2,0,0,0,0,0
457,dual-ma-cross-v1,600030,2023-01-01,2023-12-31,1000000,1000000,0.07032000000000047,0.0733298626545249,0.4565074479513043,-0.15931592875910935,0.3333333333333333,3,0,0,0,0,1.9884456439234288
473,dual-ma-cross-v1,600030,2024-01-01,2024-06-30,1000000,1000000,-0.027216000000000115,-0.05769995931199823,-0.8704321691370034,-0.04878945515703859,0,1,0,0,0,0,0
492,dual-ma-cross-v1,600030,2024-07-01,2024-12-31,1000000,1000000,0.637728,1.7034068924135006,2.6437525809606135,-0.15319140702264342,1,1,0,0,0,0,0
454,dual-ma-cross-v1,600036,2023-01-01,2023-12-31,1000000,1000000,-0.18914400000000012,-0.19613877777886324,-2.134023609650763,-0.18914400000000012,0,5,0,0,0,0,0
470,dual-ma-cross-v1,600036,2024-01-01,2024-06-30,1000000,1000000,0.061093,0.13623710677501455,1.1472801620294424,-0.07322373477266102,1,1,0,0,0,0,0
486,dual-ma-cross-v1,600036,2024-07-01,2024-12-31,1000000,1000000,-0.028822000000000233,-0.05725453271415837,-0.1882162182329964,-0.08916724546739169,0.5,2,0,0,0,0,0.07123552123552113
451,dual-ma-cross-v1,600519,2023-01-01,2023-12-31,1000000,1000000,-0.13599,-0.14119299604766766,-1.482554206502145,-0.13599,0,4,0,0,0,0,0
469,dual-ma-cross-v1,600519,2024-01-01,2024-06-30,1000000,1000000,-0.04504,-0.09449436191506166,-2.9318674658745314,-0.04969648721265798,0,1,0,0,0,0,0
483,dual-ma-cross-v1,600519,2024-07-01,2024-12-31,1000000,1000000,-0.121365,-0.2295970548768025,-1.6581361723109855,-0.1267,0,2,0,0,0,0,0
462,dual-ma-cross-v1,600900,2023-01-01,2023-12-31,1000000,1000000,0.054971,0.05730643066409491,0.5679485667830926,-0.08705168788452113,0.4,5,0,0,0,0,1.5514397367338568
476,dual-ma-cross-v1,600900,2024-01-01,2024-06-30,1000000,1000000,0.08789,0.1989427022739314,2.083982191665204,-0.03134441997076733,0,1,0,0,0,0,0
495,dual-ma-cross-v1,600900,2024-07-01,2024-12-31,1000000,1000000,-0.00526,-0.010575825632073821,-0.12018276746640656,-0.056668,0,1,0,0,0,0,0
459,dual-ma-cross-v1,601166,2023-01-01,2023-12-31,1000000,1000000,-0.06331,-0.06583807967937927,-0.8050077511564189,-0.0940997381014092,0,3,0,0,0,0,0
